■頭部パーツ
○名称	チップ容量	重量	装甲	射撃補正	索敵	ロックオン	DEF回復	条件	素材・勲章	GP
プラントセイバー	5	1回の出撃で、プラントを7回占拠すると与えられる。（敵プラント機能停止もカウントされる）
リペアラー/銅	2	1回のバトル中に、味方機・レーダー施設・自動砲台を3回修理すると与えられる。
リペアラー/銀	3	1回のバトル中に、味方機・レーダー施設・自動砲台を5回修理すると与えられる。
リペアラー/金	4	1回のバトル中に、味方機・レーダー施設・自動砲台を10回修理すると与えられる。
弾薬補給/銅	2	1回のバトル中に、味方機のマガジンを5個補給すると与えられる。
弾薬補給/銀	3	1回のバトル中に、味方機のマガジンを15個補給すると与えられる。
弾薬補給/金	4	1回のバトル中に、味方機のマガジンを30個補給すると与えられる。
バトルアシスト/銅	2	1回のバトル中に、撃破支援を5回行うと与えられる。
バトルアシスト/銀	3	1回のバトル中に、撃破支援を7回行うと与えられる。
バトルアシスト/金	5	1回のバトル中に、撃破支援を10回行うと与えられる。
プラントガード/銅	2	1回のバトル中に、プラント防衛を2回行うと与えられる。
プラントガード/銀	3	1回のバトル中に、プラント防衛を4回行うと与えられる。
プラントガード/金	4	1回のバトル中に、プラント防衛を7回行うと与えられる。
ベースガード/銅	2	1回のバトル中に、ベース防衛を2回行うと与えられる。
ベースガード/銀	3	1回のバトル中に、ベース防衛を4回行うと与えられる。
ベースガード/金	4	1回のバトル中に、ベース防衛を7回行うと与えられる。
スカウター/銅	1	1回のバトル中に、敵発見報告を10回行うと与えられる。
スカウター/銀	2	1回のバトル中に、敵発見報告を20回行うと与えられる。
スカウター/金	3	1回のバトル中に、敵発見報告を30回行うと与えられる。
アンチトラップ/銅	2	1回のバトル中に、設置武器を3個破壊すると与えられる。
アンチトラップ/銀	3	1回のバトル中に、設置武器を5個破壊すると与えられる。
アンチトラップ/金	4	1回のバトル中に、設置武器を10個破壊すると与えられる。
赤銅武勲	2	1回のバトル中に、総合スコアを80pt以上獲得すると与えられる。
白銀武勲	3	1回のバトル中に、総合スコアを130pt以上獲得すると与えられる。
黄金武勲	5	1回のバトル中に、総合スコアを200pt以上獲得すると与えられる。
マルチファイター	3	1回のバトル中に、各兵装でスコアを5pt以上ずつ獲得すると与えられる。
オールマイティー	4	1回のバトル中に、各兵装でスコアを15pt以上ずつ獲得すると与えられる。
グランドスラム	5	1回のバトル中に、各兵装でスコアを25pt以上ずつ獲得すると与えられる。
マルチバスター/銅	2	1回のバトル中に、1回同時撃破すると与えられる。
マルチバスター/銀	3	1回のバトル中に、2回同時撃破すると与えられる。
マルチバスター/金	5	1回のバトル中に、3回同時撃破すると与えられる。
ビークルガンナー/銅	2	1回のバトル中に、ワフトローダーで敵を1機撃破すると与えられる。
ビークルガンナー/銀	3	1回のバトル中に、ワフトローダーで敵を3機撃破すると与えられる。
ビークルガンナー/金	5	1回のバトル中に、ワフトローダーで敵を5機撃破すると与えられる。
ドライブアシスト/銅	2	1回のバトル中に、自機がワフトローダーを操縦している間、同乗者が敵を2機撃破すると与えられる。
ドライブアシスト/銀	3	1回のバトル中に、自機がワフトローダーを操縦している間、同乗者が敵を4機撃破すると与えられる。
ドライブアシスト/金	5	1回のバトル中に、自機がワフトローダーを操縦している間、同乗者が敵を7機撃破すると与えられる。
バトルサポート/銅	2	1回のバトル中に、撃破補助を1回行うと与えられる。
バトルサポート/銀	3	1回のバトル中に、撃破補助を3回行うと与えられる。
バトルサポート/金	4	1回のバトル中に、撃破補助を5回行うと与えられる。
モノポリー/銅	2	1回のバトル中に、プラント独占でのポイントを2回得ると与えられる。
モノポリー/銀	3	1回のバトル中に、プラント独占でのポイントを4回得ると与えられる。
モノポリー/金	5	1回のバトル中に、プラント独占でのポイントを7回得ると与えられる。
マルチスコアラー/銅	3	1回のバトル中に、戦闘・占拠・貢献スコアを10pt以上ずつ獲得すると与えられる。
マルチスコアラー/銀	4	1回のバトル中に、戦闘・占拠・貢献スコアを25pt以上ずつ獲得すると与えられる。
マルチスコアラー/金	5	1回のバトル中に、戦闘・占拠・貢献スコアを40pt以上ずつ獲得すると与えられる。
プライムキーパー	3	1回のバトル中に、王冠を通算60秒維持すると与えられる。
プライムホルダー	4	1回のバトル中に、王冠を通算120秒維持すると与えられる。
プライムランナー	5	1回のバトル中に、王冠を通算240秒維持すると与えられる。
バンカーキャリア/銅	2	1回のバトル中に、Sバンカー運搬によるスコアを6pt獲得すると与えられる。
バンカーキャリア/銀	3	1回のバトル中に、Sバンカー運搬によるスコアを12pt獲得すると与えられる。
バンカーキャリア/金	4	1回のバトル中に、Sバンカー運搬によるスコアを24pt獲得すると与えられる。
エリートバスター/銅	3	※ユニオンバトル限定（作戦難度NORMAL以上で獲得）1回のバトル中に、チームで強化ブラストを10機撃破すると与えられる。
エリートバスター/銀	4	※ユニオンバトル限定（作戦難度HARD以上で獲得）1回のバトル中に、チームで強化ブラストを20機撃破すると与えられる。
エリートバスター/金	5	※ユニオンバトル限定（作戦難度VERY HARDで獲得）1回のバトル中に、チームで強化ブラストを30機撃破すると与えられる。
エースバスター/銅	3	※ユニオンバトル限定（作戦難度NORMAL以上で獲得）1回のバトル中に、チームで敵エースを1機撃破すると与えられる。
エースバスター/銀	4	※ユニオンバトル限定（作戦難度HARD以上で獲得）1回のバトル中に、チームで敵エースを2機撃破すると与えられる。
エースバスター/金	5	※ユニオンバトル限定（作戦難度VERY HARDで獲得）1回のバトル中に、チームで敵エースを3機撃破すると与えられる。
防衛砲台破壊/銅	2	※ユニオンバトル限定（作戦難度NORMAL以上で獲得）1回のバトル中に、チームで防衛砲台を20基破壊すると与えられる。
防衛砲台破壊/銀	3	※ユニオンバトル限定（作戦難度HARD以上で獲得）1回のバトル中に、チームで防衛砲台を40基破壊すると与えられる。
防衛砲台破壊/金	4	※ユニオンバトル限定（作戦難度VERY HARDで獲得）1回のバトル中に、チームで防衛砲台を60基破壊すると与えられる。
侵攻阻止/銅	2	※ユニオンバトル限定（作戦難度NORMAL以上で獲得）1回のバトル中に、チームでプラント侵攻を1回阻止すると与えられる。
侵攻阻止/銀	3	※ユニオンバトル限定（作戦難度HARD以上で獲得）1回のバトル中に、チームでプラント侵攻を2回阻止すると与えられる。
侵攻阻止/金	4	※ユニオンバトル限定（作戦難度VERY HARDで獲得）1回のバトル中に、チームでプラント侵攻を3回阻止すると与えられる。
オーダークリア/銅	2	※ユニオンバトル限定（作戦難度NORMAL以上で獲得）１回のバトル中に、チームでユニオンオーダーを1回達成すると与えられる。
オーダークリア/銀	3	※ユニオンバトル限定（作戦難度HARD以上で獲得）１回のバトル中に、チームでユニオンオーダーを2回達成すると与えられる。
オーダークリア/金	4	※ユニオンバトル限定（作戦難度VERY HARDで獲得）１回のバトル中に、チームでユニオンオーダーを3回達成すると与えられる。
ソルジャー	2	※スクランブルバトル限定「SR01」以上で1回のバトル中に、敵を5機撃破すると与えられる。
トップキーパー	2	※スクランブルバトル限定「SR01」以上で1回のバトル中に、チーム内ランキング1位を通算60秒維持すると与えられる。
トップホルダー	3	※スクランブルバトル限定「SR04」以上で1回のバトル中に、チーム内ランキング1位を通算80秒維持すると与えられる。
トップランナー	5	※スクランブルバトル限定「SR07」以上で1回のバトル中に、チーム内ランキング1位を通算100秒維持すると与えられる。

◆通算系勲章
○名称	レア	条件
撃破章	1	通算撃破数100機を達成するごとに与えられる。
近接戦章	2	近接戦闘武器を使用して、通算撃破数30機を達成する毎に与えられる。
精密射撃章	2	クリティカルショットによる通算撃破数30機を達成する毎に与えられる。
工作章	2	設置武器を使用して、通算撃破数10機を達成する毎に与えられる。
固定砲章	2	ガン・ターレットを使用して、通算撃破数10機を達成する毎に与えられる。
施設破壊章	3	レーダー施設・自動砲台の通算破壊数30基を達成する毎に与えられる。
砲撃章	2	遠距離砲撃を使用して、通算撃破数20機を達成する毎に与えられる。
占拠章	1	プラントの通算占拠回数50回を達成する毎に与えられる。
戦友章	2	撃破支援を通算80回達成する毎に与えられる。
防衛章	2	プラント・ベースの防衛を通算40回達成する毎に与えられる。
再起章	2	味方機の再始動を通算15回達成する毎に与えられる。
撤去章	2	設置武器の通算破壊個数30個を達成する毎に与えられる。
奇襲章	4	通算奇襲回数20回を達成する毎に与えられる。
強襲章	1	強襲兵装による通算獲得スコア500ptを達成する毎に与えられる。
重火力章	1	重火力兵装による通算獲得スコア500ptを達成する毎に与えられる。
遊撃章	1	遊撃兵装による通算獲得スコア500ptを達成する毎に与えられる。
支援章	1	支援兵装による通算獲得スコア500ptを達成する毎に与えられる。
戦闘勝利章	2	通算勝利回数10回を達成する毎に与えられる。
完全勝利章	4	通算圧勝回数3回を達成する毎に与えられる。
英雄章	4	総合順位1位を通算10回達成する毎に与えられる。
艦砲章	3	ワフトローダーを使用して、通算撃破数10機を達成すると与えられる。
対艦章	2	ワフトローダーに搭乗している敵に対して、通算撃破数3機を達成すると与えられる。
操縦章	3	プレイヤーがワフトローダーを操縦している間、同乗者による通算撃破数15機を達成すると与えられる。
独占阻止章	4	プラント独占阻止を通算1回を達成すると与えられる。
急襲阻止章	3	急襲阻止を通算10回達成すると与えられる。
連続勝利章	5	バトル5連勝を達成すると与えられる。
最優秀戦闘章	3	バトル勝利時の、チーム内戦闘スコア1位回数5回を達成すると与えられる。
最優秀占拠章	3	バトル勝利時の、チーム内占拠スコア1位回数5回を達成すると与えられる。
最優秀貢献章	3	バトル勝利時の、チーム内貢献スコア1位回数5回を達成すると与えられる。
最優秀コア攻撃章	4	バトル勝利時に、敵コアに与えたダメージがチーム内1位の回数を5回達成すると与えられる。
自律兵器破壊章	1	※ユニオンバトル限定 Droneの通算撃破数200機を達成すると与えられる。
強化機兵撃破章	3	※ユニオンバトル限定 強化ブラストの通算撃破数10機を達成すると与えられる。
エース撃破章	4	※ユニオンバトル限定 敵エースの通算撃破数3機を達成すると与えられる。
中枢特攻章	4	※ユニオンバトル限定 Sバンカーを使用して、巨大兵器内部で動力部への通算攻撃回数3回を達成すると与えられる。
連合勝利章	2	※ユニオンバトル限定 ユニオンバトル通算勝利回数10回を達成すると与えられる。
巨艦撃沈章	4	※ユニオンバトル限定 ユニオンバトル通算圧勝回数3回を達成すると与えられる。
争奪戦撃破章	1	※スクランブルバトル限定「SR01」以上で通算撃破数100機を達成すると与えられる。
争奪戦撃破章/上級	2	※スクランブルバトル限定「SR07」以上で通算撃破数100機を達成すると与えられる。
争奪戦英雄章	3	※スクランブルバトル限定「SR01」以上で順位1位を通算10回達成すると与えられる。
争奪戦英雄章/上級	4	※スクランブルバトル限定「SR07」以上で順位1位を通算10回達成すると与えられる。
ニュード独占章	4	※スクランブルバトル限定「SR01」以上でニュードポイント規定数到達を通算3回達成すると与えられる。
ニュード独占章/上級	5	※スクランブルバトル限定「SR07」以上でニュードポイント規定数到達を通算3回達成すると与えられる。

■素材
○名称	レア	系統
鉛板	1	鋼材系
隕鉄塊	2	鋼材系
チタン鋼	3	鋼材系
ウーツ重鋼	4	鋼材系
